"Obs","male","xeduc","raceeth","marstat","pcincQ","ksaimeQ","year","_TYPE_","_PAGE_","_TABLE_","pctoti_Mean","pcssb_Mean","pcSSI_Mean","pcinci_Mean","pcdbinc_Mean","pcearn_Mean","pcimpr_Mean","pcNotModel_Mean","pcothinc_Mean","xssb_Mean","xsssb_Mean","xearn_Mean","xsern_Mean","pcNetTOTI_Mean","pcNetCensusIncome_Mean","pcfedtax_Mean","pcstatetax_Mean","pcFICAtax_Mean","pcHItax_Mean","pcMedicareSurtax_Mean","MedicareBPremium_Mean","MedicareDPremium_Mean","PCCENSUSINCOME_Mean","pcdeltaIRA_Mean","pcint_Mean","pcdiv_Mean","pcrentinc_Mean","hpctoti_Mean","hpcssb_Mean","hpcSSI_Mean","hpcinci_Mean","hpcdbinc_Mean","hpcearn_Mean","hpcimpr_Mean","hpcNotModel_Mean","hpcothinc_Mean","hxssb_Mean","hxsssb_Mean","hxearn_Mean","hxsern_Mean","hpcNetTOTI_Mean","hpcNetCENSUSincome_Mean","hpcfedtax_Mean","hpcstatetax_Mean","hpcFICAtax_Mean","hpcHItax_Mean","hpcMedicareSurtax_Mean","hMedicareBpremium_Mean","hMedicareDpremium_Mean","hpcCensusIncome_Mean","hpcdeltaIRA_Mean","hpcint_Mean","hpcdiv_Mean","hpcrentinc_Mean"
"1",".",".",".",".",".",".",2015,0000001,1,1,58467.82,12064.12,171.823,21936.37,6345.42,13097.65,4068.22,784.22,5437.75,12471.38,5990.30,12614.71,9989.32,51599.26,30897.17,3571.10,745.94,522.88,141.832,41.24,1453.70,391.86,37765.73,1938.23,928.91,1759.42,675.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2",".",".",".",".",".",".",2025,0000001,1,1,63374.10,13799.07,138.270,25053.48,5177.92,13783.23,4551.13,871.01,6503.22,14157.07,6970.65,12821.04,10326.55,55686.20,33301.58,3784.49,702.77,624.60,155.366,52.61,1826.50,541.56,40989.48,3446.42,1068.72,1945.25,759.60,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3",".",".",".",".",".",".",2035,0000001,1,1,67293.23,15659.96,107.987,27295.74,3899.08,14330.34,5109.97,890.15,7501.16,16031.06,7609.25,13663.00,9991.15,58005.84,34972.07,4591.72,766.48,648.19,166.222,91.13,2330.74,692.91,44259.46,5015.94,1171.47,2262.26,922.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4",".",".",".",".",".",".",2045,0000001,1,1,72471.06,17064.50,90.831,30088.99,2963.71,15593.88,5681.46,987.69,8734.29,17427.68,7920.58,14714.32,11205.35,61195.79,37013.68,5461.52,877.11,699.03,181.560,148.41,3015.69,891.94,48288.95,6593.55,1365.96,2630.65,998.18,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5",".",".",".",".",".",".",2055,0000001,1,1,78323.08,18690.39,72.236,30652.42,2506.67,18954.78,6294.61,1151.96,9804.81,19127.05,8770.24,17941.53,13463.88,63979.78,40587.17,7039.73,1045.46,830.62,222.221,241.82,3830.73,1132.72,54930.46,7485.66,1745.39,3084.09,1239.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"6",".",".",".",".",".",".",2065,0000001,1,1,83681.42,21150.72,58.344,31571.58,2530.20,20029.52,7096.27,1244.78,10695.36,21626.53,10007.04,19048.14,14280.68,67182.74,43792.50,7785.44,1067.37,913.73,236.715,296.14,4785.15,1414.12,60291.18,8835.99,1837.88,3265.69,1338.06,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7","Female",".",".",".",".",".",2015,1000001,2,1,53637.89,12402.37,230.273,19169.32,5730.90,11388.93,4121.68,594.41,7335.26,11045.01,6837.98,8806.72,9504.43,47388.96,29288.07,3131.65,656.90,446.26,115.701,33.74,1458.98,405.70,35537.00,1977.68,854.74,1695.30,662.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8","Female",".",".",".",".",".",2025,1000001,2,1,61172.17,14270.05,175.911,23037.45,4981.52,13263.30,4799.34,644.61,8631.29,13049.50,7699.29,11587.51,9078.08,53553.89,32947.75,3737.50,682.32,592.18,148.495,51.85,1841.73,564.21,40566.04,3513.40,1011.31,1971.15,734.80,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9","Female",".",".",".",".",".",2035,1000001,2,1,64539.73,16208.54,131.161,25233.02,3908.95,12972.34,5410.91,674.81,9883.85,15166.44,8132.63,11337.17,8497.84,55618.20,34489.49,4305.48,724.15,595.72,147.664,84.38,2343.78,720.36,43411.02,5205.60,1168.80,2195.99,944.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"10","Female",".",".",".",".",".",2045,1000001,2,1,68416.28,17696.17,106.606,27169.48,2840.85,13932.61,5972.59,697.97,11569.07,16649.73,8405.04,12058.23,9553.36,57693.97,36049.64,5063.15,775.93,633.33,159.436,132.19,3032.72,925.56,46771.95,6834.92,1332.24,2425.80,904.77,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11","Female",".",".",".",".",".",2055,1000001,2,1,74000.38,19306.92,85.740,27911.18,2345.82,16885.27,6614.80,850.64,13332.50,18222.09,9294.49,14405.55,12024.11,60613.99,39310.29,6266.41,932.92,759.53,195.323,209.36,3846.75,1176.10,52696.68,7642.88,1545.86,2871.64,1161.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
