"year","category","catval","percentile","wealth","ss","income"
2015,"age","1",1,-1387.79,0,356.02
2015,"age","1",2,-1033.35,0,2758.64
2015,"age","1",3,-981.17,0,5526.6
2015,"age","1",4,-876.79,0,7470.62
2015,"age","1",5,-539.85,0,8682.15
2015,"age","1",6,-112.19,0,9505.42
2015,"age","1",7,232.04,0,10295.9
2015,"age","1",8,629.36,0,11181.83
2015,"age","1",9,1108.16,0,11965.92
2015,"age","1",10,1516.59,0,13044.53
2015,"age","1",11,1979.36,0,13904.71
2015,"age","1",12,2427.27,0,14693.63
2015,"age","1",13,2902.33,0,15444.91
2015,"age","1",14,3492.89,0,16319.45
2015,"age","1",15,4071.65,0,17294.24
2015,"age","1",16,4603.79,0,18014.03
2015,"age","1",17,5150.02,0,19056.78
2015,"age","1",18,5698.82,0,19906.14
2015,"age","1",19,6366.63,0,20765.33
2015,"age","1",20,7163.62,0,21774.14
2015,"age","1",21,7734.15,0,22467.18
2015,"age","1",22,8339.56,0,23395.71
2015,"age","1",23,9192.69,0,24278.24
2015,"age","1",24,10070.68,0,25202.55
2015,"age","1",25,10934.17,0,26216
2015,"age","1",26,11632.56,746.14,27132.33
2015,"age","1",27,12432.35,1793.27,28140.65
2015,"age","1",28,13215.36,2606.84,29038.86
2015,"age","1",29,14096.17,3305.94,29867.61
2015,"age","1",30,14759.33,3873.4,30711.74
2015,"age","1",31,15811.42,4556.7,31715.02
2015,"age","1",32,16928.12,5181.41,32758.12
2015,"age","1",33,18074.17,5650.81,33731.34
2015,"age","1",34,19347.84,6148.1,34717.18
2015,"age","1",35,20821.91,6492.31,35802.51
2015,"age","1",36,22120.63,6806.81,36738.58
2015,"age","1",37,23419.68,7178.32,37792.94
2015,"age","1",38,24915.52,7491.6,38994.45
2015,"age","1",39,26536.51,7873.03,40040.95
2015,"age","1",40,27968.71,8156.73,41024.11
2015,"age","1",41,29431.35,8539.82,42112.25
2015,"age","1",42,31381.64,8839.2,43271.6
2015,"age","1",43,33856.44,9166.73,44251.88
2015,"age","1",44,35704.48,9497.68,45131.85
2015,"age","1",45,37553.39,9814.8,45965.45
2015,"age","1",46,39864.12,10132.11,47126.91
2015,"age","1",47,41749.15,10445.33,48221.41
2015,"age","1",48,43893.06,10760.58,49645.06
2015,"age","1",49,46758.99,11129.28,50745.87
2015,"age","1",50,49277.7,11408.1,51794.63
2015,"age","1",51,52033.12,11702.12,53042.26
2015,"age","1",52,54700.58,12044.4,54236.41
2015,"age","1",53,57799.69,12315.69,55654
2015,"age","1",54,60696.87,12656.33,56840.03
2015,"age","1",55,63679.84,12999.82,58411.18
2015,"age","1",56,66679.56,13319.08,59804.86
2015,"age","1",57,69129.32,13695.37,61290.69
2015,"age","1",58,72586.91,13958.27,62533.65
2015,"age","1",59,76063.02,14253.67,63858.75
2015,"age","1",60,80447.63,14535.8,65481.56
2015,"age","1",61,84579.8,14839.56,67132.47
2015,"age","1",62,89087.59,15184.16,68576.87
2015,"age","1",63,93220.42,15533.8,70023.86
2015,"age","1",64,97975.75,15803.49,71754.15
2015,"age","1",65,102830.83,16162.12,73271.87
2015,"age","1",66,108808.71,16442.29,74906.72
2015,"age","1",67,114238.39,16783.51,77088.17
2015,"age","1",68,120333.11,17096.46,79198.3
2015,"age","1",69,128516.75,17420.2,81283.82
2015,"age","1",70,135229.89,17717.4,83239.33
2015,"age","1",71,141975.63,18124.03,85244.73
2015,"age","1",72,151139.26,18448.65,86926.96
2015,"age","1",73,162046.38,18740.83,89419.61
2015,"age","1",74,176151.82,19089.51,91715.27
2015,"age","1",75,195043.74,19472.32,94202.43
2015,"age","1",76,222147.37,19855.99,96956.72
2015,"age","1",77,237339.74,20180.37,99885.35
2015,"age","1",78,255271.91,20599.89,102074.75
2015,"age","1",79,295933.16,20986.54,104874.41
2015,"age","1",80,322228.95,21410.68,107459.15
2015,"age","1",81,351613.13,21736.41,110406.92
2015,"age","1",82,380363.6,22150.8,113633.79
2015,"age","1",83,424446.98,22564.8,118079.43
2015,"age","1",84,464876.75,23068.8,121479.2
2015,"age","1",85,502661.16,23373.41,125751.39
2015,"age","1",86,543840.15,23786.45,129620.97
2015,"age","1",87,585628.59,24232.53,134916.75
2015,"age","1",88,649460.66,24672.96,139780.29
2015,"age","1",89,719358.3,25123.62,145791.39
2015,"age","1",90,813048.83,25682.58,153329.3
2015,"age","1",91,935582.57,26099.95,160615.2
2015,"age","1",92,1042866.54,26658.28,171696.49
2015,"age","1",93,1168311.37,27283.84,181328.45
2015,"age","1",94,1342961.78,27825.61,193135.59
2015,"age","1",95,1578474.57,28506.03,208902.72
2015,"age","1",96,1875983.44,29561.15,227132.51
2015,"age","1",97,2379002.88,30676.8,251711.86
2015,"age","1",98,3147071.84,32175.22,300446.67
2015,"age","1",99,5269616.1,34628.45,428868.29
2015,"age","1",100,55466743.68,57819.64,3891475.74
2015,"age","2",1,-1387.79,0,-61.75
2015,"age","2",2,-1387.79,0,2477.15
2015,"age","2",3,-1094.68,0,5884.66
2015,"age","2",4,-981.17,0,8139.37
2015,"age","2",5,-788.17,0,9150.42
2015,"age","2",6,-526.89,0,9821.3
2015,"age","2",7,-207.91,0,10791.83
2015,"age","2",8,10.76,1746.27,11357.49
2015,"age","2",9,445.62,3484.35,12454.93
2015,"age","2",10,836.69,4716.37,13340.97
2015,"age","2",11,1211.27,5773.61,14264.3
2015,"age","2",12,1536.03,6541.43,15149.04
2015,"age","2",13,1892.56,7107.9,16081.28
2015,"age","2",14,2314.56,7730.2,16711.94
2015,"age","2",15,2692.17,8153.96,17391.25
2015,"age","2",16,3234.35,8736.32,18139.12
2015,"age","2",17,3701.33,9109.37,19273.71
2015,"age","2",18,4139.95,9406.67,19970.67
2015,"age","2",19,4613.14,9830.5,21004.66
2015,"age","2",20,5072.19,10246.68,21605.14
2015,"age","2",21,5600.93,10581.65,22564.07
2015,"age","2",22,6094.06,10921.96,23314.26
2015,"age","2",23,6617.96,11216.7,24150.53
2015,"age","2",24,7230.03,11549.95,24827.16
2015,"age","2",25,7702.62,11995.2,25663.04
2015,"age","2",26,8260.6,12280.26,26347.15
2015,"age","2",27,8833.95,12581.38,27249.45
2015,"age","2",28,9637.01,12878.35,28015.21
2015,"age","2",29,10630.73,13151.62,28797.65
2015,"age","2",30,11432.86,13455.59,29957.17
2015,"age","2",31,12303.93,13807.46,30761.99
2015,"age","2",32,12986.76,14101.78,31604.99
2015,"age","2",33,13758.56,14373.45,32111.31
2015,"age","2",34,14726.64,14730.64,32637.78
2015,"age","2",35,15806.25,15114.99,33504.72
2015,"age","2",36,16854.51,15361.56,34402.61
2015,"age","2",37,17888.06,15624.55,35194.38
2015,"age","2",38,18764.23,15900.67,36105.54
2015,"age","2",39,20137.63,16132.8,36677.08
2015,"age","2",40,21479.46,16404.56,37624.53
2015,"age","2",41,22502.71,16600,38416.94
2015,"age","2",42,23750.59,16801.2,39173.97
2015,"age","2",43,24677.02,17054.4,40223.92
2015,"age","2",44,26161.29,17269.61,41434.01
2015,"age","2",45,27788.55,17502.76,42706.66
2015,"age","2",46,29431.35,17833.13,43762.77
2015,"age","2",47,31542.37,18073.66,44752.03
2015,"age","2",48,32978.22,18269.57,45666.73
2015,"age","2",49,34405.66,18516.03,46683.79
2015,"age","2",50,36817.13,18779.4,47698.62
2015,"age","2",51,39237.36,19073.97,48981.71
2015,"age","2",52,40863.67,19327.77,49932.24
2015,"age","2",53,42607.04,19521.94,51213.69
2015,"age","2",54,45369.08,19756.55,52403.65
2015,"age","2",55,47461.72,19958.02,53577.42
2015,"age","2",56,50670.47,20156.89,54549.81
2015,"age","2",57,54117.49,20420.82,55672.2
2015,"age","2",58,57297.48,20611.46,56404.46
2015,"age","2",59,59817.16,20914.8,57757.03
2015,"age","2",60,63467.5,21177.83,59167.03
2015,"age","2",61,67959.37,21424.76,60791.72
2015,"age","2",62,71644.19,21655.73,62572.74
2015,"age","2",63,75775.25,21911.67,63776.14
2015,"age","2",64,79423.51,22144.24,65309.65
2015,"age","2",65,85155.89,22428.34,67020.09
2015,"age","2",66,90293.77,22636.83,68529.56
2015,"age","2",67,94667.87,22848.48,70339.6
2015,"age","2",68,98716.98,23079.84,71498.07
2015,"age","2",69,104870.71,23310.73,73225.02
2015,"age","2",70,111486.38,23610,75121.9
2015,"age","2",71,115944.98,23803.53,77166.82
2015,"age","2",72,124252.8,24044.74,79353.82
2015,"age","2",73,133341.05,24238.76,81229.26
2015,"age","2",74,145542.36,24483.84,83647.19
2015,"age","2",75,159516.1,24732.07,86630.78
2015,"age","2",76,177093.33,24910.67,89611.3
2015,"age","2",77,197814.46,25255.01,92427.34
2015,"age","2",78,219130.83,25502.4,94755.54
2015,"age","2",79,251028.96,25708.28,97143.35
2015,"age","2",80,271560.23,25913.48,100127.08
2015,"age","2",81,310830.57,26189.32,103088.64
2015,"age","2",82,344467.34,26487.13,106563.13
2015,"age","2",83,390108.02,26769.48,110003.47
2015,"age","2",84,430085.54,27093.6,113435.73
2015,"age","2",85,462343.7,27386.39,117629.06
2015,"age","2",86,499574.93,27702.75,123170.74
2015,"age","2",87,547875.99,27977.24,128586.9
2015,"age","2",88,592137.27,28348.82,133727.7
2015,"age","2",89,642533.41,28716.15,139315.95
2015,"age","2",90,718200.69,29230.94,144779.87
2015,"age","2",91,810086.17,29615.82,153549.5
2015,"age","2",92,944689.5,30068.2,165117.43
2015,"age","2",93,1116263.83,30619.25,178010.02
2015,"age","2",94,1381795.21,31335.76,190393.26
2015,"age","2",95,1618253.23,31940.56,210592.97
2015,"age","2",96,1999724.36,32876.71,230994.5
2015,"age","2",97,2497466.8,33835.58,261568.36
2015,"age","2",98,3533651.63,35527.75,330440.05
2015,"age","2",99,6295898.41,38776.96,508834.57
2015,"age","2",100,124913238.83,58206.75,8214364.56
2015,"age","3",1,-1387.79,0,-68.72
2015,"age","3",2,-1186.51,0,4025.16
2015,"age","3",3,-1054.83,0,6438.89
2015,"age","3",4,-942.43,0,8067.16
2015,"age","3",5,-751.65,0,8902.91
2015,"age","3",6,-478.89,0,9585.63
2015,"age","3",7,-220.53,0,10245.08
2015,"age","3",8,-107.8,0,10945.07
2015,"age","3",9,-40.05,2728.41,11521.44
2015,"age","3",10,0,4454.12,12539.22
2015,"age","3",11,174.04,5914.8,13089.76
2015,"age","3",12,388.71,6676.1,13806
2015,"age","3",13,728.62,7239.87,14985.74
2015,"age","3",14,1162.77,7679.65,15674.4
2015,"age","3",15,1434.61,8324.27,16165.24
2015,"age","3",16,1716.41,8715.87,16836.57
2015,"age","3",17,1984.28,9082.8,17682.26
2015,"age","3",18,2324.33,9489.39,18309.09
2015,"age","3",19,2668.19,9885.69,19460.55
2015,"age","3",20,3168.03,10276.57,20039.06
2015,"age","3",21,3606.96,10647.6,20624.22
2015,"age","3",22,4079.69,11028.04,21300.86
2015,"age","3",23,4552.77,11438.04,21820.36
2015,"age","3",24,4957.86,11755.37,22358.34
2015,"age","3",25,5360.83,12101.12,22849.35
2015,"age","3",26,5870.37,12464.14,23444.1
2015,"age","3",27,6557.71,12703.34,24091.04
2015,"age","3",28,7057.47,12894.37,24865.94
2015,"age","3",29,7763.29,13245.28,25363.19
2015,"age","3",30,8513.44,13501.2,26024.09
2015,"age","3",31,9267.86,13708.5,26814.88
2015,"age","3",32,10071.58,14052,27533.65
2015,"age","3",33,10764.09,14334.1,28038.33
2015,"age","3",34,11425.97,14590.95,29033.31
2015,"age","3",35,12311.17,14830.07,29580.2
2015,"age","3",36,13040.1,15182.18,30264.45
2015,"age","3",37,13947.3,15420.59,30961.63
2015,"age","3",38,14946.64,15681.41,31514.96
2015,"age","3",39,16524.55,15920.4,32279.26
2015,"age","3",40,17609.94,16152.74,32869.94
2015,"age","3",41,18644.03,16380.7,33703.66
